№,サブシステムＩＤ,サブシステム名,テーブルＩＤ,テーブル名,Key,フィールドＩＤ,フィールド名,属性,データタイプ,Null,UPD,省略値,モデル,説明
248,F,国民健保データ管理,FT030,年次国民健康保険SUM,,,合計保険料減免額,導出,正の９桁整数(9),×,○,,-,
249,G,★国民年金データ管理,GT010,国民年金属性,*,,住民id,固有,住民id(15),×,×,,-,
250,G,★国民年金データ管理,GT010,国民年金属性,,,基礎年金番号,固有,２０桁文字(20),×,○,,表示,
251,G,★国民年金データ管理,GT010,国民年金属性,,,基礎年金種別,固有,ユーザ定義区分(2),×,○,,表示,
252,G,★国民年金データ管理,GT010,国民年金属性,,,年金有無区分,固有,システム定義区分(2),×,○,,表示,
253,G,★国民年金データ管理,GT010,国民年金属性,,,保険料免除区分,固有,システム定義区分(2),×,○,,表示,
254,G,★国民年金データ管理,GT010,国民年金属性,,,付加納付対象区分,固有,システム定義区分(2),×,○,,表示,
255,G,★国民年金データ管理,GT020,保険料免除申請,*,,住民id,固有,住民id(15),×,×,,-,
256,G,★国民年金データ管理,GT020,保険料免除申請,*,,申請行番,固有,免除申請行番(5),×,×,,表示,
257,G,★国民年金データ管理,GT020,保険料免除申請,,,申請日,固有,日付(8),×,○,,表示,
258,G,★国民年金データ管理,GT020,保険料免除申請,,,免除申請区分,固有,システム定義区分(2),×,○,,表示,
259,G,★国民年金データ管理,GT030,他年金加入実績,*,,住民id,固有,住民id(15),×,×,,-,
260,G,★国民年金データ管理,GT030,他年金加入実績,*,,通知行番,固有,他年金加入実績通知行番(5),×,×,,表示,
261,G,★国民年金データ管理,GT030,他年金加入実績,,,通知日,固有,日付(8),×,○,,表示,
262,G,★国民年金データ管理,GT030,他年金加入実績,,,年金区分,固有,ユーザ定義区分(2),×,○,,表示,
263,G,★国民年金データ管理,GT030,他年金加入実績,,,加入日,固有,日付(8),×,○,,表示,
264,G,★国民年金データ管理,GT030,他年金加入実績,,,脱退日,固有,日付(8),×,○,,表示,
265,G,★国民年金データ管理,GT030,他年金加入実績,,,想定支払月数,固有,正の３桁整数(3),×,○,,表示,
266,G,★国民年金データ管理,GT030,他年金加入実績,,,想定支払額,固有,正の９桁整数(9),×,○,,表示,
267,G,★国民年金データ管理,GT030,他年金加入実績,,,支払月数,固有,正の３桁整数(3),×,○,,表示,
268,G,★国民年金データ管理,GT030,他年金加入実績,,,支払額,固有,正の９桁整数(9),×,○,,表示,
269,G,★国民年金データ管理,GT030,他年金加入実績,,,摘要,固有,可変長文字(50),×,○,,表示,
270,H,★老人福祉データ管理,HT010,老人福祉属性,*,,住民id,固有,住民id(15),×,×,,表示,
271,H,★老人福祉データ管理,HT010,老人福祉属性,,,介護保険番号,固有,１０桁文字(10),×,○,,表示,
272,H,★老人福祉データ管理,HT010,老人福祉属性,,,要介護区分,固有,システム定義区分(2),×,○,,表示,
273,H,★老人福祉データ管理,HT010,老人福祉属性,,,要介護状態区分,固有,システム定義区分(2),×,○,,表示,
274,H,★老人福祉データ管理,HT010,老人福祉属性,,,年齢区分,導出,システム定義区分(2),×,○,,表示,非高齢者 ...
275,H,★老人福祉データ管理,HT020,給付申請,*,,給付申請id,固有,給付id(7),×,×,,表示,
276,H,★老人福祉データ管理,HT020,給付申請,,,住民id,固有,住民id(15),×,○,,表示,
277,H,★老人福祉データ管理,HT020,給付申請,,,保険区分,固有,システム定義区分(2),×,○,,表示,後期高齢者保健、介護保険
278,H,★老人福祉データ管理,HT020,給付申請,,,給付区分,固有,システム定義区分(2),×,○,,表示,現物給付、申請給付、未払保険料への充当
279,H,★老人福祉データ管理,HT020,給付申請,,,摘要,固有,可変長文字(50),×,○,,表示,
280,H,★老人福祉データ管理,HT020,給付申請,,,給付申請額,固有,正の９桁整数(9),×,○,,表示,
281,H,★老人福祉データ管理,HT020,給付申請,,,給付認定額,固有,正の９桁整数(9),×,○,,表示,
282,H,★老人福祉データ管理,HT020,給付申請,,,本人負担額,固有,正の９桁整数(9),×,○,,表示,
283,H,★老人福祉データ管理,HT020,給付申請,,,申請日,固有,日付(8),×,○,,表示,
284,H,★老人福祉データ管理,HT020,給付申請,,,給付開始年月,固有,年月(6),×,○,,表示,
285,H,★老人福祉データ管理,HT020,給付申請,,,給付終了年月,固有,年月(6),×,○,,表示,
286,H,★老人福祉データ管理,HT030,老人福祉サービス契約,*,,住民id,固有,住民id(15),×,×,,表示,
287,H,★老人福祉データ管理,HT030,老人福祉サービス契約,*,,契約行番,固有,契約行番(4),×,×,,表示,
288,H,★老人福祉データ管理,HT030,老人福祉サービス契約,,,老人福祉事業者id,固有,法人id(10),×,○,,表示,
289,H,★老人福祉データ管理,HT030,老人福祉サービス契約,,,入所日,固有,日付(8),×,○,,表示,
290,H,★老人福祉データ管理,HT030,老人福祉サービス契約,,,退所日,固有,日付(8),×,○,,表示,
291,H,★老人福祉データ管理,HT030,老人福祉サービス契約,,,サービス区分,固有,システム定義区分(2),×,○,,表示,
292,H,★老人福祉データ管理,HT030,老人福祉サービス契約,,,摘要,固有,可変長文字(50),×,○,,表示,
293,H,★老人福祉データ管理,HT030,老人福祉サービス契約,,,月間本人負担額,固有,正の７桁整数(7),×,○,,表示,
294,H,★老人福祉データ管理,HT030,老人福祉サービス契約,,,月間給付額,固有,正の７桁整数(7),×,○,,表示,
295,H,★老人福祉データ管理,HT030,老人福祉サービス契約,,,業者支払管理id,固有,業者支払管理ID(7),×,○,,表示,
296,H,★老人福祉データ管理,HT100,年次老人福祉SUM,*,,年度,固有,年(4),×,×,,表示,
297,H,★老人福祉データ管理,HT100,年次老人福祉SUM,*,,住民id,固有,住民id(15),×,×,,表示,
298,H,★老人福祉データ管理,HT100,年次老人福祉SUM,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
299,H,★老人福祉データ管理,HT100,年次老人福祉SUM,,,資格対象月フラグ,固有,資格対象月フラグ(12),×,○,,表示,111111111111であれば４月から３月まで対象であることを示す...
300,H,★老人福祉データ管理,HT100,年次老人福祉SUM,,,月次要徴収額,固有,正の９桁整数(9),×,○,,表示,
301,H,★老人福祉データ管理,HT100,年次老人福祉SUM,,,月次要特徴額,固有,正の９桁整数(9),×,○,,-,
302,H,★老人福祉データ管理,HT100,年次老人福祉SUM,,,月次徴収済額,固有,正の９桁整数(9),×,○,,表示,
303,H,★老人福祉データ管理,HT100,年次老人福祉SUM,,,月次負担額,固有,正の９桁整数(9),×,○,,表示,
304,H,★老人福祉データ管理,HT100,年次老人福祉SUM,,,月次未処理過納額,固有,正の９桁整数(9),×,○,,-,
305,H,★老人福祉データ管理,HT100,年次老人福祉SUM,,,月次処理済過納額,固有,正の９桁整数(9),×,○,,-,
306,H,★老人福祉データ管理,HT100,年次老人福祉SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
307,J,★障害者福祉データ管理,JT010,障害者福祉属性,*,,住民id,固有,住民id(15),×,×,,表示,
308,J,★障害者福祉データ管理,JT010,障害者福祉属性,,,身障手帳番号,固有,２０桁文字(20),×,○,,表示,
309,J,★障害者福祉データ管理,JT010,障害者福祉属性,,,身障手帳交付日,固有,日付(8),×,○,,表示,
310,J,★障害者福祉データ管理,JT010,障害者福祉属性,,,身障手帳喪失日,固有,日付(8),×,○,,-,
311,J,★障害者福祉データ管理,JT010,障害者福祉属性,,,療育手帳番号,固有,２０桁文字(20),×,○,,表示,
312,J,★障害者福祉データ管理,JT010,障害者福祉属性,,,療育手帳交付日,固有,日付(8),×,○,,表示,
313,J,★障害者福祉データ管理,JT010,障害者福祉属性,,,療育手帳喪失日,固有,日付(8),×,○,,-,
314,J,★障害者福祉データ管理,JT010,障害者福祉属性,,,精障手帳番号,固有,２０桁文字(20),×,○,,表示,
315,J,★障害者福祉データ管理,JT010,障害者福祉属性,,,精障手帳交付日,固有,日付(8),×,○,,表示,
316,J,★障害者福祉データ管理,JT010,障害者福祉属性,,,精障手帳喪失日,固有,日付(8),×,○,,-,
317,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,*,,年度,固有,年(4),×,×,,表示,
318,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,*,,住民id,固有,住民id(15),×,×,,表示,
319,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
320,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,,,資格対象月フラグ,固有,資格対象月フラグ(12),×,○,,表示,111111111111であれば４月から３月まで対象であることを示す...
321,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,,,身障手帳種別,固有,システム定義区分(2),×,○,,-,
322,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,,,身障手帳等級,固有,システム定義区分(2),×,○,,-,
323,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,,,身障対象部位区分,固有,ユーザ定義区分(2),×,○,,表示,
324,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,,,療育手帳等級,固有,システム定義区分(2),×,○,,-,
325,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,,,精障手帳等級,固有,システム定義区分(2),×,○,,-,
326,J,★障害者福祉データ管理,JT020,年次障害者福祉SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
327,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,*,,住民id,固有,住民id(15),×,×,,表示,
328,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,*,,契約行番,固有,施設入退所行番(5),×,×,,表示,
329,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,,,入所日,固有,日付(8),×,○,,表示,
330,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,,,退所日,固有,日付(8),×,○,,表示,
331,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,,,障害者福祉事業者id,固有,法人id(10),×,○,,表示,
332,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,,,サービス区分,固有,システム定義区分(2),×,○,,表示,
333,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,,,摘要,固有,可変長文字(50),×,○,,表示,
334,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,,,月間本人負担額,固有,正の７桁整数(7),×,○,,表示,
335,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,,,月間給付額,固有,正の７桁整数(7),×,○,,表示,
336,J,★障害者福祉データ管理,JT030,障害者福祉サービス契約,,,業者支払管理id,固有,業者支払管理ID(7),×,○,,表示,
337,K,★児童福祉データ管理,KT010,児童福祉属性,*,,住民id,固有,住民id(15),×,×,,表示,
338,K,★児童福祉データ管理,KT010,児童福祉属性,,,乳幼児医療受給開始日,固有,日付(8),×,○,,表示,
339,K,★児童福祉データ管理,KT010,児童福祉属性,,,乳幼児医療受給終了日,固有,日付(8),×,○,,-,
340,K,★児童福祉データ管理,KT010,児童福祉属性,,,乳幼児医療申請事由,固有,４０桁文字(40),×,○,,-,
341,K,★児童福祉データ管理,KT010,児童福祉属性,,,乳幼児医療資格区分,固有,システム定義区分(2),×,○,,-,
342,K,★児童福祉データ管理,KT010,児童福祉属性,,,乳幼児医療申請日,固有,日付(8),×,○,,-,
343,K,★児童福祉データ管理,KT010,児童福祉属性,,,ひとり親医療受給開始日,固有,日付(8),×,○,,表示,
344,K,★児童福祉データ管理,KT010,児童福祉属性,,,ひとり親医療受給終了日,固有,日付(8),×,○,,-,
345,K,★児童福祉データ管理,KT010,児童福祉属性,,,ひとり親医療申請事由,固有,４０桁文字(40),×,○,,-,
346,K,★児童福祉データ管理,KT010,児童福祉属性,,,ひとり親医療資格区分,固有,システム定義区分(2),×,○,,-,
347,K,★児童福祉データ管理,KT010,児童福祉属性,,,ひとり親医療申請日,固有,日付(8),×,○,,-,
348,K,★児童福祉データ管理,KT010,児童福祉属性,,,児童手当受給開始日,固有,日付(8),×,○,,表示,
349,K,★児童福祉データ管理,KT010,児童福祉属性,,,児童手当受給終了日,固有,日付(8),×,○,,-,
350,K,★児童福祉データ管理,KT010,児童福祉属性,,,児童手当申請事由,固有,４０桁文字(40),×,○,,-,
351,K,★児童福祉データ管理,KT010,児童福祉属性,,,児童手当資格区分,固有,システム定義区分(2),×,○,,-,
352,K,★児童福祉データ管理,KT010,児童福祉属性,,,児童手当申請日,固有,日付(8),×,○,,-,
353,K,★児童福祉データ管理,KT010,児童福祉属性,,,小学校入学年,固有,年(4),×,○,,表示,
354,K,★児童福祉データ管理,KT010,児童福祉属性,,,小学校学区行番,固有,学区行番(4),×,○,,-,
355,K,★児童福祉データ管理,KT010,児童福祉属性,,,中学校入学年,固有,年(4),×,○,,-,
356,K,★児童福祉データ管理,KT010,児童福祉属性,,,中学校学区行番,固有,学区行番(4),×,○,,-,
357,K,★児童福祉データ管理,KT010,児童福祉属性,,,世帯主id,導出,住民id(15),×,○,,-,
358,K,★児童福祉データ管理,KT010,児童福祉属性,,,自治体Ｃ,継承,自治体Ｃ(5),×,○,,-,
359,K,★児童福祉データ管理,KT020,年次児童福祉SUM,*,,年度,固有,年(4),×,×,,表示,
360,K,★児童福祉データ管理,KT020,年次児童福祉SUM,*,,住民id,固有,住民id(15),×,×,,表示,
361,K,★児童福祉データ管理,KT020,年次児童福祉SUM,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
362,K,★児童福祉データ管理,KT020,年次児童福祉SUM,,,資格対象月フラグ,固有,資格対象月フラグ(12),×,○,,表示,111111111111であれば４月から３月まで対象であることを示す...
363,K,★児童福祉データ管理,KT020,年次児童福祉SUM,,,現況摘要,固有,可変長文字(50),×,○,,表示,
364,K,★児童福祉データ管理,KT020,年次児童福祉SUM,,,審査摘要,固有,可変長文字(50),×,○,,表示,
365,K,★児童福祉データ管理,KT020,年次児童福祉SUM,,,支給対象区分,固有,フラグ(1),×,○,,表示,
366,K,★児童福祉データ管理,KT020,年次児童福祉SUM,,,児童序数,固有,正の２桁整数(2),×,○,,表示,何人目の子であるかを示す...
367,K,★児童福祉データ管理,KT020,年次児童福祉SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
368,K,★児童福祉データ管理,KT030,児童福祉サービス契約,*,,住民id,固有,住民id(15),×,×,,表示,
369,K,★児童福祉データ管理,KT030,児童福祉サービス契約,*,,契約行番,固有,施設入退所行番(5),×,×,,表示,
370,K,★児童福祉データ管理,KT030,児童福祉サービス契約,,,入所日,固有,日付(8),×,○,,表示,
371,K,★児童福祉データ管理,KT030,児童福祉サービス契約,,,退所日,固有,日付(8),×,○,,表示,
372,K,★児童福祉データ管理,KT030,児童福祉サービス契約,,,児童福祉事業者id,固有,法人id(10),×,○,,表示,
373,K,★児童福祉データ管理,KT030,児童福祉サービス契約,,,サービス区分,固有,システム定義区分(2),×,○,,表示,
374,K,★児童福祉データ管理,KT030,児童福祉サービス契約,,,摘要,固有,可変長文字(50),×,○,,表示,
375,K,★児童福祉データ管理,KT030,児童福祉サービス契約,,,月間本人負担額,固有,正の７桁整数(7),×,○,,表示,
376,K,★児童福祉データ管理,KT030,児童福祉サービス契約,,,月間給付額,固有,正の７桁整数(7),×,○,,表示,
377,K,★児童福祉データ管理,KT030,児童福祉サービス契約,,,業者支払管理id,固有,業者支払管理ID(7),×,○,,表示,
378,K,★児童福祉データ管理,KT100,児童手当料率,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
379,K,★児童福祉データ管理,KT100,児童手当料率,*,,発効年月,固有,年月(6),×,×,,表示,
380,K,★児童福祉データ管理,KT100,児童手当料率,*,,児童序数,固有,正の２桁整数(2),×,×,,表示,
381,K,★児童福祉データ管理,KT100,児童手当料率,,,所得上限額,固有,正の９桁整数(9),×,○,,表示,
382,K,★児童福祉データ管理,KT100,児童手当料率,,,月額手当額,固有,正の７桁整数(7),×,○,,表示,
383,K,★児童福祉データ管理,KT200,自治体学区明細,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
384,K,★児童福祉データ管理,KT200,自治体学区明細,*,,学区行番,固有,学区行番(4),×,×,,-,
385,K,★児童福祉データ管理,KT200,自治体学区明細,,,小中区分,固有,システム定義区分(2),×,○,,表示,
386,K,★児童福祉データ管理,KT200,自治体学区明細,,,学区名,固有,４０桁文字(40),×,○,,表示,
387,L,★生活保護データ管理,LT010,生活保護属性,*,,住民id,固有,住民id(15),×,×,,表示,
388,L,★生活保護データ管理,LT010,生活保護属性,,,債権対象区分,固有,システム定義区分(2),×,○,,表示,
389,L,★生活保護データ管理,LT010,生活保護属性,,,債権額,固有,正の９桁整数(9),×,○,,-,
390,L,★生活保護データ管理,LT020,年次生活保護SUM,*,,年度,固有,年(4),×,×,,表示,
391,L,★生活保護データ管理,LT020,年次生活保護SUM,*,,住民id,固有,住民id(15),×,×,,表示,
392,L,★生活保護データ管理,LT020,年次生活保護SUM,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
393,L,★生活保護データ管理,LT020,年次生活保護SUM,,,資格対象月フラグ,固有,資格対象月フラグ(12),×,○,,表示,111111111111であれば４月から３月まで対象であることを示す...
394,L,★生活保護データ管理,LT020,年次生活保護SUM,,,受給開始日,固有,日付(8),×,○,,表示,
395,L,★生活保護データ管理,LT020,年次生活保護SUM,,,受給廃止日,固有,日付(8),×,○,,表示,
396,L,★生活保護データ管理,LT020,年次生活保護SUM,,,月間生活費,固有,正の７桁整数(7),×,○,,表示,
397,L,★生活保護データ管理,LT020,年次生活保護SUM,,,月間医療扶助額,固有,正の７桁整数(7),×,○,,表示,
398,L,★生活保護データ管理,LT020,年次生活保護SUM,,,月間介護扶助額,固有,正の７桁整数(7),×,○,,表示,
399,L,★生活保護データ管理,LT020,年次生活保護SUM,,,徴収済額,固有,正の９桁整数(9),×,○,,-,
400,L,★生活保護データ管理,LT020,年次生活保護SUM,,,担当ｹｰｽﾜｰｶｰＣ,固有,職員Ｃ(7),×,○,,表示,
401,L,★生活保護データ管理,LT020,年次生活保護SUM,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
402,L,★生活保護データ管理,LT030,生活状況明細,*,,年度,固有,年(4),×,×,,表示,
403,L,★生活保護データ管理,LT030,生活状況明細,*,,住民id,固有,住民id(15),×,×,,表示,
404,L,★生活保護データ管理,LT030,生活状況明細,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
405,L,★生活保護データ管理,LT030,生活状況明細,*,,状況行番,固有,生保状況行番(5),×,×,,表示,
406,L,★生活保護データ管理,LT030,生活状況明細,,,受付日,固有,日付(8),×,○,,表示,
407,L,★生活保護データ管理,LT030,生活状況明細,,,受付区分,固有,システム定義区分(2),×,○,,表示,相談、生保申請、医療扶助申請、介護扶助申請、病状調査
408,L,★生活保護データ管理,LT030,生活状況明細,,,調査結果,固有,システム定義区分(2),×,○,,表示,
409,L,★生活保護データ管理,LT030,生活状況明細,,,審査結果,固有,システム定義区分(2),×,○,,表示,
410,L,★生活保護データ管理,LT030,生活状況明細,,,調査日,固有,日付(8),×,○,,表示,
411,L,★生活保護データ管理,LT030,生活状況明細,,,審査日,固有,日付(8),×,○,,表示,
412,L,★生活保護データ管理,LT030,生活状況明細,,,通知日,固有,日付(8),×,○,,表示,
413,L,★生活保護データ管理,LT030,生活状況明細,,,摘要,固有,可変長文字(50),×,○,,表示,
414,L,★生活保護データ管理,LT040,生保訪問明細,*,,年度,固有,年(4),×,×,,表示,
415,L,★生活保護データ管理,LT040,生保訪問明細,*,,住民id,固有,住民id(15),×,×,,表示,
416,L,★生活保護データ管理,LT040,生保訪問明細,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,-,
417,L,★生活保護データ管理,LT040,生保訪問明細,*,,訪問行番,固有,生保訪問行番(5),×,×,,表示,
418,L,★生活保護データ管理,LT040,生保訪問明細,,,訪問予定日,固有,日付(8),×,○,,表示,
419,L,★生活保護データ管理,LT040,生保訪問明細,,,訪問予定内容,固有,可変長文字(50),×,○,,表示,
420,L,★生活保護データ管理,LT040,生保訪問明細,,,訪問日,固有,日付(8),×,○,,表示,
421,L,★生活保護データ管理,LT040,生保訪問明細,,,訪問ｹｰｽﾜｰｶｰＣ,固有,職員Ｃ(7),×,○,,表示,
422,L,★生活保護データ管理,LT040,生保訪問明細,,,訪問結果,固有,可変長文字(50),×,○,,表示,
423,L,★生活保護データ管理,LT040,生保訪問明細,,,査察指導職員Ｃ,固有,職員Ｃ(7),×,○,,-,
424,L,★生活保護データ管理,LT040,生保訪問明細,,,査察確認日,固有,日付(8),×,○,,表示,
425,L,★生活保護データ管理,LT040,生保訪問明細,,,査察摘要,固有,可変長文字(50),×,○,,-,
426,L,★生活保護データ管理,LT050,生保サービス契約,*,,住民id,固有,住民id(15),×,×,,表示,
427,L,★生活保護データ管理,LT050,生保サービス契約,*,,契約行番,固有,生保入所行番(5),×,×,,表示,
428,L,★生活保護データ管理,LT050,生保サービス契約,,,生保施設id,固有,法人id(10),×,○,,表示,
429,L,★生活保護データ管理,LT050,生保サービス契約,,,入所日,固有,日付(8),×,○,,表示,
430,L,★生活保護データ管理,LT050,生保サービス契約,,,退所日,固有,日付(8),×,○,,表示,
431,L,★生活保護データ管理,LT050,生保サービス契約,,,サービス区分,固有,システム定義区分(2),×,○,,表示,
432,L,★生活保護データ管理,LT050,生保サービス契約,,,摘要,固有,可変長文字(50),×,○,,表示,
433,L,★生活保護データ管理,LT050,生保サービス契約,,,業者支払管理id,固有,業者支払管理ID(7),×,○,,表示,
434,L,★生活保護データ管理,YT032,ケースワーカー属性,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
435,L,★生活保護データ管理,YT032,ケースワーカー属性,*,,職員Ｃ,固有,職員Ｃ(7),×,×,,表示,
436,L,★生活保護データ管理,YT032,ケースワーカー属性,,,資格取得日,固有,日付(8),×,○,,表示,
437,L,★生活保護データ管理,YT032,ケースワーカー属性,,,資格失効日,固有,日付(8),×,○,,表示,
438,L,★生活保護データ管理,YT032,ケースワーカー属性,,,査察指導職員Ｃ,固有,職員Ｃ(7),×,○,,表示,
439,M,★特別給付データ管理,MT010,特別給付,*,,特別給付id,固有,特別給付id(7),×,×,,表示,
440,M,★特別給付データ管理,MT010,特別給付,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
441,M,★特別給付データ管理,MT010,特別給付,,,特別給付名,固有,２０桁文字(20),×,○,,表示,
442,M,★特別給付データ管理,MT010,特別給付,,,指示日,固有,日付(8),×,○,,表示,
443,M,★特別給付データ管理,MT010,特別給付,,,給付予定日,固有,日付(8),×,○,,表示,
444,M,★特別給付データ管理,MT010,特別給付,,,摘要,固有,可変長文字(50),×,○,,表示,
445,M,★特別給付データ管理,MT020,特別給付別資格明細,*,,特別給付id,固有,特別給付id(7),×,×,,表示,
446,M,★特別給付データ管理,MT020,特別給付別資格明細,*,,給付資格区分,固有,ユーザ定義区分(2),×,×,,表示,
447,M,★特別給付データ管理,MT020,特別給付別資格明細,,,給付額,固有,正の３桁整数(3),×,○,,表示,
448,M,★特別給付データ管理,MT020,特別給付別資格明細,,,摘要,固有,可変長文字(50),×,○,,表示,
449,M,★特別給付データ管理,MT030,特別給付別対象世帯,*,,特別給付id,固有,特別給付id(7),×,×,,表示,
450,M,★特別給付データ管理,MT030,特別給付別対象世帯,*,,世帯id,固有,世帯id(7),×,×,,表示,
451,M,★特別給付データ管理,MT030,特別給付別対象世帯,,,摘要,固有,可変長文字(50),×,○,,表示,
452,M,★特別給付データ管理,MT030,特別給付別対象世帯,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
453,M,★特別給付データ管理,MT030,特別給付別対象世帯,,,世帯主id,導出,住民id(15),×,○,,表示,
454,M,★特別給付データ管理,MT030,特別給付別対象世帯,,,給付合計額,導出,正の３桁整数(3),×,○,,表示,
455,M,★特別給付データ管理,MT040,特別給付別対象住民,*,,特別給付id,固有,特別給付id(7),×,×,,表示,
456,M,★特別給付データ管理,MT040,特別給付別対象住民,*,,住民id,固有,住民id(15),×,×,,表示,
457,M,★特別給付データ管理,MT040,特別給付別対象住民,*,,世帯id,固有,世帯id(7),×,×,,表示,
458,M,★特別給付データ管理,MT040,特別給付別対象住民,,,給付時続柄,固有,システム定義区分(2),×,○,,表示,
459,M,★特別給付データ管理,MT040,特別給付別対象住民,,,給付資格区分,固有,ユーザ定義区分(2),×,○,,表示,
460,M,★特別給付データ管理,MT040,特別給付別対象住民,,,前年度所得額,固有,正の９桁整数(9),×,○,,表示,
461,M,★特別給付データ管理,MT040,特別給付別対象住民,,,給付時年齢,固有,正の３桁整数(3),×,○,,表示,
462,M,★特別給付データ管理,MT040,特別給付別対象住民,,,摘要,固有,可変長文字(50),×,○,,表示,
463,M,★特別給付データ管理,MT040,特別給付別対象住民,,,給付額,導出,正の３桁整数(3),×,○,,表示,
464,N,住民取引データ管理,NT010,住民取引明細,*,,年度,固有,年(4),×,×,,表示,
465,N,住民取引データ管理,NT010,住民取引明細,*,,自治体Ｃ,固有,自治体Ｃ(5),×,×,,表示,
466,N,住民取引データ管理,NT010,住民取引明細,*,,取引行番,固有,税納付№(7),×,×,,表示,
467,N,住民取引データ管理,NT010,住民取引明細,,,住民id,固有,住民id(15),×,○,,表示,
468,N,住民取引データ管理,NT010,住民取引明細,,,法人id,固有,法人id(10),×,○,,表示,
469,N,住民取引データ管理,NT010,住民取引明細,,,取引区分,固有,システム定義区分(2),×,○,,表示,個人住民税納付、法人住民税納付、個人固定資産税納付、法人固定資産税納付、国民健康保険料納付、 ...
470,N,住民取引データ管理,NT010,住民取引明細,,,取引方法区分,固有,システム定義区分(2),×,○,,表示,窓口取引、口座取引、現物納付、減免、見込納付
471,N,住民取引データ管理,NT010,住民取引明細,,,要求日,固有,日付(8),×,○,,表示,
472,N,住民取引データ管理,NT010,住民取引明細,,,取引日,固有,日付(8),×,○,,表示,
473,N,住民取引データ管理,NT010,住民取引明細,,,取引額,固有,正の９桁整数(9),×,○,,表示,
474,N,住民取引データ管理,NT010,住民取引明細,,,現物当初評価額,固有,正の９桁整数(9),×,○,,-,
475,N,住民取引データ管理,NT010,住民取引明細,,,状態区分,固有,システム定義区分(2),×,○,,表示,未承認、承認済、納付書送付済、振替指示済／未入出金、入出金済、債権管理移管済、取消済
476,N,住民取引データ管理,NT010,住民取引明細,,,一括発行区分,固有,システム定義区分(2),×,○,,-,対象外、未発行、発行済
477,N,住民取引データ管理,NT010,住民取引明細,,,摘要,固有,可変長文字(50),×,○,,表示,
478,N,住民取引データ管理,NT010,住民取引明細,,,入出金管理id,固有,納付管理id(10),×,○,,表示,
479,N,住民取引データ管理,NT010,住民取引明細,,,納付番号,導出,１０桁文字(10),×,○,,-,年度、納付先自治体Ｃ、住民税納付行番、およびチェックデジットを結合した値
480,N,住民取引データ管理,NT010,住民取引明細,,,年月,導出,年月(6),×,○,,表示,
481,N,住民取引データ管理,NT020,振替指示見出し,*,,振替指示id,固有,振替依頼id(7),×,×,,表示,
482,N,住民取引データ管理,NT020,振替指示見出し,,,自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
483,N,住民取引データ管理,NT020,振替指示見出し,,,振替指示日時,固有,日時(12),×,○,,表示,
484,N,住民取引データ管理,NT020,振替指示見出し,,,振替予定日,固有,日付(8),×,○,,表示,
485,N,住民取引データ管理,NT020,振替指示見出し,,,振替区分,固有,システム定義区分(2),×,○,,表示,自動引落、支払
486,N,住民取引データ管理,NT020,振替指示見出し,,,状態区分,固有,システム定義区分(2),×,○,,表示,未送信、送信済
487,N,住民取引データ管理,NT021,振替指示明細,*,,振替指示id,固有,振替依頼id(7),×,×,,表示,
488,N,住民取引データ管理,NT021,振替指示明細,*,,指示行番,固有,振替依頼行番(7),×,×,,表示,
489,N,住民取引データ管理,NT021,振替指示明細,,,銀行コード,固有,１０桁文字(10),×,○,,-,
